Coor_ID, LON, LAT,FLAG,Moist,Ash,Avg Yield
2321,-75.3319,40.4882,"-75.3319, 40.4882",23.4660807,0,19.87293006
2322,-75.0956,40.4488,"-75.0956, 40.4488",22.74099564,0,17.6056383
2323,-75.1919,40.4028,"-75.1919, 40.4028",30.90762697,2.140538781,20.98439762
2324,-75.1132,40.3896,"-75.1132, 40.3896",24.83454497,1.120465894,18.9529603
2325,-75.288,40.3568,"-75.288, 40.3568",18.12536449,0.899622845,15.36970808
2326,-75.0521,40.3173,"-75.0521, 40.3173",22.48813844,1.203183869,18.2068122
2327,-74.9735,40.304,"-74.9735, 40.304",23.04020261,2.580894287,19.07480115
2328,-75.1483,40.2714,"-75.1483, 40.2714",22.30564339,1.898044869,18.99978159
2329,-75.0697,40.2582,"-75.0697, 40.2582",30.20997041,1.307368874,17.75564294
2330,-74.9912,40.2449,"-74.9912, 40.2449",23.01381119,0.503929667,18.09420345
2331,-74.7736,40.1458,"-74.7736, 40.1458",17.31360718,4.518904715,16.47253476
2332,-79.6046,40.8728,"-79.6046, 40.8728",25.91981122,1.068160171,16.5113096
2333,-79.5246,40.8623,"-79.5246, 40.8623",23.00229699,1.487901526,18.07830078
2334,-79.6185,40.8131,"-79.6185, 40.8131",17.00364163,0.747895482,16.32922834
2335,-79.6324,40.7534,"-79.6324, 40.7534",10.67987542,1.827158398,15.97785999
2336,-75.7027,40.9211,"-75.7027, 40.9211",20.36726123,1.708837116,15.02136098
2337,-75.7199,40.8619,"-75.7199, 40.8619",18.86425125,0.674799279,5.738782686
2338,-75.5613,40.8361,"-75.5613, 40.8361",29.75694852,3.12018872,16.16525152
2339,-75.4821,40.8231,"-75.4821, 40.8231",21.21033018,3.380139132,15.62507202
2340,-75.8957,40.8282,"-75.8957, 40.8282",17.15688249,0.926814918,15.47889254
2341,-75.7371,40.8026,"-75.7371, 40.8026",25.68080204,1.005953803,12.38046317
2342,-76.8169,41.0961,"-76.8169, 41.0961",20.4171153,0,17.19415874
2343,-76.8495,40.9773,"-76.8495, 40.9773",23.19472324,2.593094704,19.29267926
2344,-76.6107,40.9407,"-76.6107, 40.9407",13.37996918,0.46490234,15.41480845
2345,-76.7862,40.9058,"-76.7862, 40.9058",16.2344038,0.234855205,14.00049341
2346,-76.7066,40.8936,"-76.7066, 40.8936",29.23211085,1.165438361,17.50896875
2347,-76.5476,40.8691,"-76.5476, 40.8691",15.72634223,2.386107807,16.5312396
2348,-76.7556,40.7155,"-76.7556, 40.7155",16.94493629,2.477295792,14.1903052
2349,-76.7719,40.6562,"-76.7719, 40.6562",25.69280531,0,16.82085053
2350,-75.2093,40.9023,"-75.2093, 40.9023",19.35555041,0.748598294,17.86832658
2351,-75.1477,40.83,"-75.1477, 40.83",24.60785121,3.514538802,19.07409617
2352,-75.4028,40.8101,"-75.4028, 40.8101",28.32254431,1.992550577,19.69498952
2353,-75.3236,40.7971,"-75.3236, 40.7971",21.84018599,1.287423769,18.15598103
2354,-75.2445,40.784,"-75.2445, 40.784",29.04759747,2.640095571,19.80591986
2355,-75.3411,40.7379,"-75.3411, 40.7379",18.97359142,1.646024229,17.49968416
2356,-75.262,40.7248,"-75.262, 40.7248",21.61545462,1.562021934,18.19641531
2357,-75.4377,40.6918,"-75.4377, 40.6918",27.08370848,3.05495976,19.22936345
2358,-77.1846,40.657,"-77.1846, 40.657",25.47508278,0.362639438,18.36689111
2359,-77.3591,40.6213,"-77.3591, 40.6213",11.13747953,1.478619905,15.09059146
2360,-77.2005,40.5976,"-77.2005, 40.5976",23.33180566,1.042084845,17.89390478
2361,-77.4542,40.5737,"-77.4542, 40.5737",26.32011016,1.432022967,19.05774295
2362,-77.3749,40.5619,"-77.3749, 40.5619",20.14225831,1.033823677,17.78690024
2363,-77.2956,40.5501,"-77.2956, 40.5501",28.08919449,1.688668161,19.86707474
2364,-75.8321,41.6241,"-75.8321, 41.6241",19.41698366,0,17.2627493
2365,-75.9296,41.5775,"-75.9296, 41.5775",23.38588577,2.529053771,16.13208418
2366,-75.8494,41.5648,"-75.8494, 41.5648",22.87723952,0.95161843,17.71587433
2367,-76.1872,41.5561,"-76.1872, 41.5561",17.18868647,2.337273626,16.61939602
2368,-76.107,41.5435,"-76.107, 41.5435",24.59281913,3.320972863,18.68012773
2369,-75.8666,41.5055,"-75.8666, 41.5055",12.96209546,1.108368023,13.57168765
2370,-75.7866,41.4927,"-75.7866, 41.4927",25.13015251,1.066045483,18.13202725
2371,-75.9639,41.459,"-75.9639, 41.459",16.38268631,0.643976845,16.67898775
2372,-76.061,41.4123,"-76.061, 41.4123",25.28781166,1.765287178,14.94656636
2373,-75.981,41.3997,"-75.981, 41.3997",21.93137268,2.007000743,18.62049779
2374,-80.3789,41.0939,"-80.3789, 41.0939",27.95555038,0.743075842,19.8028831
2375,-80.2985,41.0839,"-80.2985, 41.0839",17.32276685,1.667383712,17.15143456
2376,-80.138,41.0639,"-80.138, 41.0639",20.58878986,3.057575922,18.39806874
2377,-80.3922,41.0341,"-80.3922, 41.0341",24.00007479,2.645192834,17.88789961
2378,-80.3119,41.0241,"-80.3119, 41.0241",15.48836495,0.24556496,16.72542709
2379,-80.2317,41.0142,"-80.2317, 41.0142",28.34675876,2.092677531,18.53348191
2380,-80.4857,40.9842,"-80.4857, 40.9842",17.48310608,0.435214159,17.18456401
2381,-80.165,40.9444,"-80.165, 40.9444",15.42702448,0.693208703,13.13196034
2382,-80.4187,40.9145,"-80.4187, 40.9145",11.6315247,3.355548214,16.0306097
2383,-80.3386,40.9046,"-80.3386, 40.9046",23.55846885,3.593473847,15.73640476
2384,-80.2585,40.8946,"-80.2585, 40.8946",25.42391552,1.400547743,18.68252702
2385,-80.5121,40.8646,"-80.5121, 40.8646",21.67919601,3.118192834,17.91852608
2386,-80.432,40.8547,"-80.432, 40.8547",12.75999996,3.21140922,13.38936259
2387,-80.4326,41.2234,"-80.4326, 41.2234",12.59197657,0.946768777,16.51299939
2388,-80.3522,41.2135,"-80.3522, 41.2135",14.24618462,0.39908812,16.3333527
2389,-80.2851,41.1437,"-80.2851, 41.1437",18.91729032,0.911260512,17.23902793
2390,-80.1244,41.1237,"-80.1244, 41.1237",20.33316219,0.696617716,17.54619437
2391,-75.901,41.387,"-75.901, 41.387",25.01236115,1.922974688,19.69109247
2392,-76.078,41.353,"-76.078, 41.353",19.10697371,0.602403387,17.5477687
2393,-75.9981,41.3404,"-75.9981, 41.3404",21.45524243,0.489073071,18.80402198
2394,-75.9182,41.3277,"-75.9182, 41.3277",20.75772292,2.001619604,18.23476546
2395,-76.095,41.2937,"-76.095, 41.2937",16.76399031,1.688930778,17.4737557
2396,-76.0151,41.2811,"-76.0151, 41.2811",16.12381382,0.675008122,17.17121794
2397,-76.2885,41.2002,"-76.2885, 41.2002",20.97690579,0,17.23541116
2398,-76.1458,41.1158,"-76.1458, 41.1158",18.90008967,0.596590807,17.86013757
2399,-75.924,41.0187,"-75.924, 41.0187",17.11505569,0.312051979,16.56599202
2400,-78.343,40.6404,"-78.343, 40.6404",18.4362414,2.847990371,16.97272371
2401,-78.184,40.6179,"-78.184, 40.6179",15.00141198,0,16.47831505
2402,-75.675,40.7306,"-75.675, 40.7306",24.45331309,1.086258207,16.37149473
2403,-75.5959,40.7177,"-75.5959, 40.7177",32.89901373,1.575986884,17.20938441
2404,-75.6922,40.6714,"-75.6922, 40.6714",15.96640518,1.326442342,15.03362308
2405,-75.6131,40.6585,"-75.6131, 40.6585",28.56281001,2.56662045,16.17152617
2406,-75.5341,40.6456,"-75.5341, 40.6456",18.62915518,1.690585263,17.71287116
2407,-75.7884,40.625,"-75.7884, 40.625",29.18113672,1.352231292,19.8722645
2408,-75.6303,40.5993,"-75.6303, 40.5993",14.26379534,1.520868663,14.10935789
2409,-75.4108,40.5013,"-75.4108, 40.5013",25.10528038,1.493052563,18.88256592
2410,-75.507,40.4551,"-75.507, 40.4551",20.36889102,0.284679826,18.07693048
2411,-77.6036,41.8929,"-77.6036, 41.8929",23.86226258,0.920901042,17.19727082
2412,-77.5228,41.8813,"-77.5228, 41.8813",25.99247809,0.521057272,17.77767081
2413,-77.2805,41.8459,"-77.2805, 41.8459",20.31658559,0.638104238,16.97945343
2414,-77.2966,41.7864,"-77.2966, 41.7864",27.58915746,2.952919457,18.09467575
2415,-77.3127,41.7269,"-77.3127, 41.7269",25.62422032,1.939712119,17.604437
2416,-77.3287,41.6674,"-77.3287, 41.6674",19.58653542,0.235150336,14.96564355
2417,-76.9894,41.9884,"-76.9894, 41.9884",16.07472225,1.539258077,14.23705227
2418,-77.0058,41.9289,"-77.0058, 41.9289",30.35740242,0.994807605,18.6777474
2419,-76.925,41.9169,"-76.925, 41.9169",31.90413904,0.895513521,19.99370726
2420,-76.9415,41.8574,"-76.9415, 41.8574",19.57946484,1.150696816,16.38510069
2421,-77.2159,41.7745,"-77.2159, 41.7745",3.04718858,0.689064363,12.48983617
