index,plant,demand,lack cost
1,1,250000,500
2,2,352362,500
3,3,95768,500
4,4,105335,500
5,5,27973,500
6,6,133627,500
7,7,57571,500
8,8,11783,500
9,9,44765,500
10,10,39195,500
11,11,1000181,500
